22.3163,0.0856,0.5019,2.2932,0.0049,1.0181,620.3582,2.5939,-0.0946,3.2858,6.8043,-0.0752,463.2883,81.0,0.1096,15.91,61.8918,3.6327,2.771,15.88,0.561,0.8073,1.1,5.6522,0.0022,3095.78,84.9052,-3498.75,-0.0004,1.5683
32.6256,0.1175,0.4958,2.2592,0.0038,0.9677,625.9636,4.3102,-0.1892,3.7696,7.1041,0.0134,21.3645,96.5,0.1096,15.94,50.6425,3.9133,3.094,15.95,0.319,23.8245,1.4,5.7247,0.0021,2932.61,84.7569,-4047.0,0.0006,1.4698
44.3906,0.0973,0.499,2.3802,0.003,0.8567,625.2945,3.9482,0.2838,4.9881,7.5925,-0.0699,24.2831,123.7,0.1096,15.61,94.4594,3.1959,2.48,15.59,0.241,24.3791,0.9,5.444,0.0024,2988.72,84.9105,-4515.0,-0.0002,1.3141
53.0876,0.0582,0.48,2.3715,0.0041,0.8285,645.7636,4.7226,-0.5677,4.9184,7.5017,0.0696,44.898,123.1,0.1096,15.73,85.2255,3.6163,3.027,15.71,0.499,-12.2945,0.8,4.8956,0.0025,3032.24,86.3269,-3987.5,0.0004,1.2524
36.4696,0.101,0.4949,2.2932,0.0041,0.7408,635.4936,5.4238,-0.0946,4.9037,6.7509,0.0265,23.3606,119.3,0.1096,15.91,61.9853,3.6327,2.771,15.88,0.123,28.2955,0.9,5.5901,0.0013,2946.25,85.4233,-3906.5,-0.0002,1.1174
40.5089,0.0698,0.501,2.3216,0.0049,0.8142,618.2745,5.7322,-0.4731,5.0409,8.4126,0.0221,162.4892,122.5,0.1096,15.89,91.3669,2.8,2.854,15.84,0.11,2.1109,0.6,4.9162,0.0022,3030.27,87.1543,-3914.75,0.0004,1.2295
65.5784,0.1358,0.4984,2.3437,0.0034,0.9357,635.8891,5.7341,0.7096,7.4754,6.2166,-0.0086,16.2027,201.1,0.1096,15.86,141.6508,2.9057,2.645,15.8,0.385,29.1309,1.1,4.8066,0.0016,3058.88,83.8887,-3819.75,0.0003,1.4381
44.2335,0.0908,0.4993,2.3437,0.0034,0.8582,632.5727,4.5861,0.7096,4.4915,7.6346,-0.0024,18.8665,116.8,0.1096,15.86,57.1204,2.9057,2.645,15.8,0.091,26.9791,0.6,4.3824,0.0022,2967.68,85.4274,-2948.0,0.0001,1.2938
72.1316,0.1358,0.4967,2.3437,0.0034,0.9357,638.63,5.8287,0.7096,8.726,7.4956,0.0275,21.8283,211.9,0.1096,15.86,108.9894,2.9057,2.645,15.8,0.096,28.3118,0.8,4.9838,0.0019,3016.11,83.8887,-3911.5,-0.0004,1.4381
50.6152,0.1175,0.4925,2.3715,0.0037,0.9677,617.6045,5.7046,-0.5677,5.7374,7.4902,-0.0108,14.6207,146.2,0.1096,15.73,81.4734,3.6163,3.027,15.71,0.107,27.8373,1.0,5.2778,0.0017,2994.05,84.7569,-1976.0,0.0002,1.4698
50.3528,0.0908,0.4987,2.2764,0.0049,0.8582,635.6382,3.8514,-0.5677,6.07,6.6383,0.0,8.2922,150.5,0.1096,15.89,51.3594,4.1301,2.78,15.86,0.08,25.0836,0.9,4.6853,0.0015,2928.84,85.4274,-3869.75,0.0,1.2938
24.8685,0.0973,0.495,2.3216,0.0037,0.8567,627.5409,2.1952,-0.4731,2.8675,7.5539,0.068,31.4286,71.9,0.1096,15.89,88.9917,2.8,2.854,15.84,0.514,22.6227,0.9,5.2108,0.0022,2920.07,84.9105,-3982.25,-0.0004,1.3141
24.3169,0.1319,0.5034,2.3262,0.0028,1.0026,608.79,3.3591,0.0,3.1709,7.8046,0.1638,299.314,80.2,0.1096,15.81,44.9602,4.23,2.572,15.8,0.068,-1.1927,1.0,6.4674,0.0008,3051.44,83.7998,-3883.5,-0.0002,1.5398
65.5491,0.0694,0.5077,2.3262,0.0042,0.8207,619.35,7.0581,0.0,7.5262,7.3445,-0.032,22.1678,197.9,0.1096,15.81,77.572,4.23,2.572,15.8,0.127,17.6382,1.0,4.9515,0.0016,2963.97,85.0922,-1025.25,0.0003,1.234
50.9188,0.0694,0.5058,2.3243,0.0042,0.8207,624.0573,4.8255,-0.0473,4.9484,7.5348,0.0048,15.1805,126.0,0.1096,15.85,57.364,2.2894,2.77,15.82,0.096,20.4209,0.9,4.9296,0.003,2988.31,85.0922,-2053.0,0.0008,1.234
35.7726,0.0585,0.5005,2.3243,0.0031,0.8611,631.9864,6.2615,-0.0473,3.9947,6.4414,-0.0285,31.9037,102.3,0.1096,15.85,51.9767,2.2894,2.77,15.82,0.538,-8.1182,1.1,6.5511,0.0016,3028.02,86.3472,-3654.5,-0.0004,1.3035
55.7701,0.0927,0.5015,2.3243,0.0031,1.172,639.8027,6.2056,-0.0473,6.3031,8.0131,0.0572,88.5639,158.7,0.1096,15.85,59.4889,2.2894,2.77,15.82,0.18,-5.5327,1.0,5.8924,0.002,3032.73,85.0465,-3617.5,0.0,1.7639
9.3474,0.0891,0.4948,2.3122,0.0053,0.9807,634.9736,2.0952,-0.4258,1.1555,6.8241,0.0373,0.0,28.9,0.1096,15.87,62.9543,2.3222,2.582,15.84,0.325,0.4836,1.2,6.8608,0.002,3040.34,85.3498,-4149.25,0.0003,1.5007
39.0394,0.0973,0.5036,2.3122,0.004,0.8567,625.3827,6.6861,-0.4258,3.9737,7.5953,-0.0232,27.8104,100.1,0.1096,15.87,78.1223,2.3222,2.582,15.84,0.554,22.4736,1.4,5.2005,0.002,2988.3,84.9105,-4006.5,0.0006,1.3141
